Vocaloid Song Series	247	121	116	9	8	048.99	046.96	003.64	003.24
Yusuke Kozaki's Art	246	7	5	116	122	002.85	002.03	047.15	049.59
Kaiju	245	118	164	2	3	048.16	066.94	000.82	001.22
Shounen Sirius	245	129	119	0	0	052.65	048.57	000.00	000.00
Suzuhito Yasuda's Art	245	120	93	28	39	048.98	037.96	011.43	015.92
Blizzard Entertainment	241	3	3	93	152	001.24	001.24	038.59	063.07
Gainax	240	160	99	2	1	066.67	041.25	000.83	000.42
Activision	236	1	3	65	174	000.42	001.27	027.54	073.73
T-Rex	236	211	2	22	1	089.41	000.85	009.32	000.42
Nippon Animation	235	87	151	0	0	037.02	064.26	000.00	000.00
ComicWalker	234	184	52	18	0	078.63	022.22	007.69	000.00
Dungeons & Dragons Genre	233	95	137	14	6	040.77	058.80	006.01	002.58
Nutaku	233	0	0	210	24	000.00	000.00	090.13	010.30
Afternoon	232	136	126	0	0	058.62	054.31	000.00	000.00
Naruto Series	229	73	161	0	1	031.88	070.31	000.00	000.44
JAST USA	228	33	12	154	31	014.47	005.26	067.54	013.60
d-rights	225	65	166	0	1	028.89	073.78	000.00	000.44
Eight Bit	224	119	92	16	9	053.13	041.07	007.14	004.02
Hana to Yume	224	85	140	1	6	037.95	062.50	000.45	002.68
Brazilian Media	222	65	138	11	13	029.28	062.16	004.95	005.86
Frontier Works	222	87	121	27	9	039.19	054.50	012.16	004.05
Monolith Soft	221	0	0	98	128	000.00	000.00	044.34	057.92
Disneytoon Studios	219	74	146	1	0	033.79	066.67	000.46	000.00
Hirohiko Araki's Works	219	54	174	0	1	024.66	079.45	000.00	000.46
Bands	218	22	198	0	0	010.09	090.83	000.00	000.00
JoJo's Bizarre Adventure	217	53	173	0	1	024.42	079.72	000.00	000.46
Telecom Animation Film	217	111	109	31	4	051.15	050.23	014.29	001.84
Fairy Tail Series	215	89	132	0	0	041.40	061.40	000.00	000.00
Inazuma Eleven Series	215	44	167	39	161	020.47	077.67	018.14	074.88
SNK Corporation	215	1	1	86	133	000.47	000.47	040.00	061.86
Solo Musicians	215	84	135	0	0	039.07	062.79	000.00	000.00
Riot Games	214	7	10	86	126	003.27	004.67	040.19	058.88
Lifewonders	212	0	0	27	190	000.00	000.00	012.74	089.62
Pink Pineapple	212	180	6	36	2	084.91	002.83	016.98	000.94
Kerokero Ace	211	62	89	32	34	029.38	042.18	015.17	016.11
Tite Kubo's Works	209	70	142	1	0	033.49	067.94	000.48	000.00
Bleach Series	208	69	141	1	1	033.17	067.79	000.48	000.48
miHoYo	207	28	10	132	66	013.53	004.83	063.77	031.88
SynergySP	207	81	126	2	3	039.13	060.87	000.97	001.45
Arc System Works	206	26	33	109	76	012.62	016.02	052.91	036.89
Podcasts	206	79	140	0	0	038.35	067.96	000.00	000.00
Shin'ichiro Otsuka's Art	206	86	89	32	13	041.75	043.20	015.53	006.31
Shounen Jump+ Originals	206	131	84	0	0	063.59	040.78	000.00	000.00
Bessatsu Shounen Magazine	205	100	108	0	0	048.78	052.68	000.00	000.00
Rumiko Takahashi's Works	205	91	115	0	0	044.39	056.10	000.00	000.00
The Legend of Zelda	205	3	5	88	129	001.46	002.44	042.93	062.93
Touhou Project Universe	204	72	3	185	11	035.29	001.47	090.69	005.39
Gundam	203	104	101	0	0	051.23	049.75	000.00	000.00
Watanabe Akio's Art	203	131	45	37	3	064.53	022.17	018.23	001.48
